হাগদবনি,ꯍꯥꯒꯗꯕꯅꯤ
ৱানিংঙাই,ꯋꯥꯅꯤꯡꯉꯥꯏ
ইমুংশীংগী,ꯏꯃꯨꯡꯁꯤꯡꯒꯤ
পার্টিশীং,ꯄꯥꯔꯇꯤꯁꯤꯡ
প্রোফেসর,ꯄꯔ꯭ꯣꯐꯦꯁꯔ
মাইকৈদগী,ꯃꯥꯏꯀꯩꯗꯒꯤ
কোলিসন,ꯀꯣꯂꯤꯁꯟ
মুত্থৎকনু,ꯃꯨꯠꯊꯠꯀꯅꯨ
এক্সপেক্টেসন,ꯑꯦꯛꯁꯄꯦꯛꯇꯦꯁꯟ
অসিৱায়দগী,ꯑꯁꯤꯋꯥꯌꯗꯒꯤ
অঙাংনোনে,ꯑꯉꯥꯡꯅꯣꯅꯦ
য়াবশীংদি,ꯌꯥꯕꯁꯤꯡꯗꯤ
তাবসু,ꯇꯥꯕꯁꯨ
ঔরোবিন্দো,ꯑꯧꯔꯣꯕꯤꯟꯗꯣ
খঙ্লে,ꯈꯡꯂꯦ
ৱেবশাইত,ꯋꯦꯕꯁꯥꯏꯠ
মম্মাক্শিংদুদি,ꯃꯝꯃꯥꯛꯁꯤꯡꯗꯨꯗꯤ
কঞ্জাভর্েসন,ꯀꯟꯖꯥꯚꯔꯦꯁꯟ
ঙম্দবী,ꯉꯝꯗꯕꯤ
মহিগী,ꯃꯍꯤꯒꯤ
চত্তবদু,ꯆꯠꯇꯕꯗꯨ
থায়রোইদাইটিস,ꯊꯥꯌꯔꯣꯏꯗꯥꯏꯇꯤꯁ
অমরোম,ꯑꯃꯔꯣꯝ
লৌথবীগে,ꯂꯧꯊꯕꯤꯒꯦ
য়াওগদৌরিবশিংদি,ꯌꯥꯑꯣꯒꯗꯧꯔꯤꯕꯁꯤꯡꯗꯤ
লিমিতেদ,ꯂꯤꯃꯤꯇꯦꯗ
ৱারক্পনি,ꯋꯥꯔꯛꯄꯅꯤ
হোত্নবনি,ꯍꯣꯠꯅꯕꯅꯤ
ঐখোয়্সু,ꯑꯩꯈꯣꯌꯁꯨ
মেলেরিয়ানি,ꯃꯦꯂꯦꯔꯤꯌꯥꯅꯤ
একাউণ্টশীং,ꯑꯦꯀꯥꯎꯟꯇꯁꯤꯡ
এগজিক্যুতিব,ꯑꯦꯒꯖꯤꯀꯌ꯭ꯨꯇꯤꯕ
নুংঙাইরবোইরে,ꯅꯨꯡꯉꯥꯏꯔꯕꯣꯏꯔꯦ
খোইরাং,ꯈꯣꯏꯔꯥꯡ
কন্ত্রিশিংদসু,ꯀꯟꯇꯔ꯭ꯤꯁꯤꯡꯗꯁꯨ
লুপ্পা,ꯂꯨꯞꯄꯥ
খুদমগা,ꯈꯨꯗꯝꯒ
হায়রিবশীং,ꯍꯥꯌꯔꯤꯕꯁꯤꯡ
য়াওদ্রেদো,ꯌꯥꯑꯣꯗꯔ꯭ꯦꯗꯣ
লৈরক্নবগী,ꯂꯩꯔꯛꯅꯕꯒꯤ
দিমাঃদ,ꯗꯤꯃꯥঃꯗ
সিলভর,ꯁꯤꯜꯚꯔ
উশাশীং,ꯎꯁꯥꯁꯤꯡ
শন্দা,ꯁꯟꯗ
ওজাগী,ꯑꯣꯖꯥꯒꯤ
শক্তিসু,ꯁꯛꯇꯤꯁꯨ
ইফোর্ট,ꯏꯐꯣꯔꯇ
খুঙ্গংশিংগী,ꯈꯨꯡꯒꯪꯁꯤꯡꯒꯤ
ধম্মর্গা,ꯙꯝꯃꯔꯒꯥ
হায়্জগখিবোরে,ꯍꯥꯌꯖꯒꯈꯤꯕꯣꯔꯦ
তরবুজ,ꯇꯔꯕꯨꯖ
ফল্না,ꯐꯜꯅ
টোলগী,ꯇꯣꯜꯒꯤ
রেজিমেন,ꯔꯦꯖꯤꯃꯦꯟ
গুরুশিষ্য,ꯒꯨꯔꯨꯁꯤꯁꯌ꯭
এন্টিরিয়ুমেটিক,ꯑꯦꯟꯇꯤꯔꯤꯌꯨꯃꯦꯇꯤꯛ
তান্থোরক্পগী,ꯇꯥꯟꯊꯣꯔꯛꯄꯒꯤ
লৌরোইদবনি,ꯂꯧꯔꯣꯏꯗꯕꯅꯤ
ফাগৎখিবনি,ꯐꯥꯒꯠꯈꯤꯕꯅꯤ
পুথোক্লক্কদৌরিবা,ꯄꯨꯊꯣꯛꯂꯛꯀꯗꯧꯔꯤꯕ
থেকপগী,ꯊꯦꯛꯄꯒꯤ
শেল্লেপ,ꯁꯦꯜꯂꯦꯞ
লোয়্নরক্পোইরে,ꯂꯣꯌꯅꯔꯛꯄꯣꯏꯔꯦ
সোল্টস,ꯁꯣꯜꯇꯁ
হেঙ্গৎলে,ꯍꯦꯡꯒꯠꯂꯦ
প্রদেসকী,ꯄꯔ꯭ꯗꯦꯁꯀꯤ
ওইবদদি,ꯑꯣꯏꯕꯗꯗꯤ
ওরিয়েন্ট,ꯑꯣꯔꯤꯌꯦꯟꯇ
লৌদবা,ꯂꯧꯗꯕ
ওভরদিকাউন্টর,ꯑꯣꯚꯔꯗꯤꯀꯥꯎꯟꯇꯔ
লাইৱা,ꯂꯥꯏꯋꯥ
বিভাগশীং,ꯕꯤꯚꯥꯒꯁꯤꯡ
ঊতলিবা,ꯎꯠꯂꯤꯕ
নেম্মি,ꯅꯦꯝꯃꯤ
হ্যুমেনিতিগী,ꯍꯌ꯭ꯨꯃꯦꯅꯤꯇꯤꯒꯤ
শুরোইদবনি,ꯁꯨꯔꯣꯏꯗꯕꯅꯤ
নুংঙাইত্রিবদি,ꯅꯨꯡꯉꯥꯏꯇꯔ꯭ꯤꯕꯗꯤ
খনগৎলে,ꯈꯟꯒꯠꯂꯦ
শোকপা,ꯁꯣꯛꯄ
স্কুলে,ꯁꯀ꯭ꯨꯂꯦ
ছটিশগর,ꯁꯇꯤꯁꯒꯔ
পুন্সিরোল,ꯄꯨꯟꯁꯤꯔꯣꯜ
বেসিত্রাসিন,ꯕꯦꯁꯤꯇꯔ꯭ꯥꯁꯤꯟ
কোপিশিং,ꯀꯣꯄꯤꯁꯤꯡ
হায়্রকেদো,ꯍꯥꯌꯔ꯭ꯀꯦꯗꯣ
মখোয়্অসুম্না,ꯃꯈꯣꯌꯑꯁꯨꯝꯅꯥ
কম্পসরী,ꯀꯝꯄꯁꯔꯤ
মতুনা,ꯃꯇꯨꯅ
য়োংয়াম্দুগী,ꯌꯣꯡꯌꯥꯝꯗꯨꯒꯤ
নুংঙাইবদু,ꯅꯨꯡꯉꯥꯏꯕꯗꯨ
বোরাদুদি,ꯕꯣꯔꯥꯗꯨꯗꯤ
ৱাহৈশীংগী,ꯋꯥꯍꯩꯁꯤꯡꯒꯤ
ইন্টরিয়র,ꯏꯟꯇꯔꯤꯌꯔ
থিহল্লরে,ꯊꯤꯍꯜꯂꯔꯦ
ফারবদি,ꯐꯥꯔꯕꯗꯤ
লাক্মিন্নরম্মী,ꯂꯥꯛꯃꯤꯟꯅꯔꯝꯃꯤ
চংবীগদবনি,ꯆꯪꯕꯤꯒꯗꯕꯅꯤ
মরমনা,ꯃꯔꯝꯅ
কম্প্রোমাইজগী,ꯀꯝꯄꯔ꯭ꯣꯃꯥꯏꯖꯒꯤ
নুমিত্কি,ꯅꯨꯃꯤꯠꯀꯤ
লৈরিবনো,ꯂꯩꯔꯤꯕꯅꯣ
কম্যুনেল,ꯀꯃꯌ꯭ꯨꯅꯦꯜ
ইমোসনেল,ꯏꯃꯣꯁꯅꯦꯜ
নিকপগা,ꯅꯤꯛꯄꯒ
এপোইন্তমেন্ট,ꯑꯦꯄꯣꯏꯟꯇꯃꯦꯟꯇ
য়াইঙঙ,ꯌꯥꯏꯉꯡ
ওল্লকিবসিনি,ꯑꯣꯜꯂꯀꯤꯕꯁꯤꯅꯤ
ঐখোয়গা,ꯑꯩꯈꯣꯌꯒ
থেম্মু,ꯊꯦꯝꯃꯨ
শূবদুদি,ꯁꯨꯕꯗꯨꯗꯤ
হয়েংদি,ꯍꯌꯦꯡꯗꯤ
কেমিস্ত্রি,ꯀꯦꯃꯤꯁꯇꯔ꯭ꯤ
পৈশালাখকী,ꯄꯩꯁꯥꯂꯥꯈꯀꯤ
খিংবা,ꯈꯤꯡꯕ
ওফলাইন,ꯑꯣꯐꯂꯥꯏꯟ
ইন্সটোল,ꯏꯟꯁꯇꯣꯜ
খুৎসি,ꯈꯨꯠꯁꯤ
তুঙ্গোন্দা,ꯇꯨꯡꯒꯣꯟꯗꯥ
অনুকৃতিঃ,ꯑꯅꯨꯀꯔ꯭ꯤꯇꯤঃ
তেঙ্কিদগী,ꯇꯦꯡꯀꯤꯗꯒꯤ
স্ত্রেস,ꯁꯇ꯭ꯔ꯭ꯦꯁ
লাকখ্রবা,ꯂꯥꯛꯈꯔ꯭ꯕ
গ্ল্যান্ড,ꯒꯂ꯭ꯌ꯭ꯥꯟꯗ
ষ্টেজনি,ꯁꯇ꯭ꯦꯖꯅꯤ
নোজবেগ,ꯅꯣꯖꯕꯦꯒ
শিরবা,ꯁꯤꯔꯕ
সেলতর,ꯁꯦꯜꯇꯔ
পিয়রগী,ꯄꯤꯌꯔꯒꯤ
এসোসিএসন,ꯑꯦꯁꯣꯁꯤꯑꯦꯁꯟ
পাখত্না,ꯄꯥꯈꯠꯅꯥ
থোঙ্ঙাক্পা,ꯊꯣꯡꯉꯥꯛꯄꯥ
হায়গৎলক্লবদি,ꯍꯥꯌꯒꯇꯂꯛꯂꯕꯗꯤ
দ্যুটিশীং,ꯗꯌ꯭ꯨꯇꯤꯁꯤꯡ
ইখোঙ্না,ꯏꯈꯣꯡꯅꯥ
লৈমিন্নরবোইরে,ꯂꯩꯃꯤꯟꯅꯔꯕꯣꯏꯔꯦ
নেমাটোদশীং,ꯅꯦꯃꯥꯇꯣꯗꯁꯤꯡ
ভেল্যুশীং,ꯚꯦꯂꯌ꯭ꯨꯁꯤꯡ
দিসএবিলিটিজগী,ꯗꯤꯁꯑꯦꯕꯤꯂꯤꯇꯤꯖꯒꯤ
ইন্টরকম্পনি,ꯏꯟꯇꯔꯀꯝꯄꯅꯤ
হায়রোইদবগী,ꯍꯥꯌꯔꯣꯏꯗꯕꯒꯤ
ফিদুসিয়ারি,ꯐꯤꯗꯨꯁꯤꯌꯥꯔꯤ
মহৈকোল,ꯃꯍꯩꯀꯣꯜ
মচানুপীবু,ꯃꯆꯥꯅꯨꯄꯤꯕꯨ
ইন্দিয়ন,ꯏꯟꯗꯤꯌꯟ
য়েলহৌ,ꯌꯦꯜꯍꯧ
লিঙ্কশীং,ꯂꯤꯡꯀꯁꯤꯡ
লোয়ন্না,ꯂꯣꯌꯟꯅꯥ
কৌজেং,ꯀꯧꯖꯦꯡ
শিন্নৈ,ꯁꯤꯟꯅꯩ
পান্দেমিক,ꯄꯥꯟꯗꯦꯃꯤꯛ
হেনগৎলক্লিবা,ꯍꯦꯟꯒꯠꯂꯛꯂꯤꯕ
এধেসিভ,ꯑꯦꯙꯦꯁꯤꯚ
ঙাওক্কী,ꯉꯥꯑꯣꯛꯀꯤ
ইবেঙ্কিং,ꯏꯕꯦꯡꯀꯤꯡ
শন্দোক্কনু,ꯁꯟꯗꯣꯛꯀꯅꯨ
মাইনিংগী,ꯃꯥꯏꯅꯤꯡꯒꯤ
থক্নবগী,ꯊꯛꯅꯕꯒꯤ
কৈদুবু,ꯀꯩꯗꯨꯕꯨ
লমবু,ꯂꯝꯕꯨ
মেগনিট্যুদ,ꯃꯦꯒꯅꯤꯇꯌ꯭ꯨꯗ
কেলিব্রেসন,ꯀꯦꯂꯤꯕꯔ꯭ꯦꯁꯟ
উগদবদি,ꯎꯒꯗꯕꯗꯤ
মীওঈশীং,ꯃꯤꯑꯣꯏꯁꯤꯡ
এনোফেলিস,ꯑꯦꯅꯣꯐꯦꯂꯤꯁ
বিচার,ꯕꯤꯆꯥꯔ
তৌনরক্লিবা,ꯇꯧꯅꯔꯛꯂꯤꯕ
তৌরোইদগে,ꯇꯧꯔꯣꯏꯗꯒꯦ
পন্দিত্না,ꯄꯟꯗꯤꯠꯅꯥ
সিভিলিয়ান,ꯁꯤꯚꯤꯂꯤꯌꯥꯟ
দাইজেষ্টিভ,ꯗꯥꯏꯖꯦꯁꯇꯤꯚ
পেনিসিলিন,ꯄꯦꯅꯤꯁꯤꯂꯤꯟ
তাখিবনি,ꯇꯥꯈꯤꯕꯅꯤ
হাংঙোই,ꯍꯥꯡꯉꯣꯏ
ইহুম্কাসি,ꯏꯍꯨꯝꯀꯥꯁꯤ
প্রোহিবিসন,ꯄꯔ꯭ꯣꯍꯤꯕꯤꯁꯟ
ঈপাউয়াওফম,ꯏꯄꯥꯎꯌꯥꯑꯣꯐꯝ
কন্সেসন,ꯀꯟꯁꯦꯁꯟ
স্ত্রেংথনিং,ꯁꯇ꯭ꯔ꯭ꯦꯡꯊꯅꯤꯡ
কর্তারাও,ꯀꯔꯇꯥꯔꯥꯑꯣ
মচানুপীদুগী,ꯃꯆꯥꯅꯨꯄꯤꯗꯨꯒꯤ
এক্সপেক্ট,ꯑꯦꯛꯁꯄꯦꯛꯇ
শজিদুদি,ꯁꯖꯤꯗꯨꯗꯤ
চেঙ্জেল,ꯆꯦꯡꯖꯦꯜ
তায়ারশীং,ꯇꯥꯌꯥꯔꯁꯤꯡ
পেরেলাইজ,ꯄꯦꯔꯦꯂꯥꯏꯖ
ফিজেৎলৈতেং,ꯐꯤꯖꯦꯠꯂꯩꯇꯦꯡ
শিখিবগী,ꯁꯤꯈꯤꯕꯒꯤ
এরিযাগী,ꯑꯦꯔꯤꯌꯥꯒꯤ
থোক্ত্রিঙৈগী,ꯊꯣꯛꯇꯔ꯭ꯤꯉꯩꯒꯤ
পীজগে,ꯄꯤꯖꯒꯦ
খ্বাইদগি,ꯈꯋ꯭ꯥꯏꯗꯒꯤ
থোক্কন্দে,ꯊꯣꯛꯀꯟꯗꯦ
মখাগি,ꯃꯈꯥꯒꯤ
কেসশীংগী,ꯀꯦꯁꯁꯤꯡꯒꯤ
শামুবু,ꯁꯥꯃꯨꯕꯨ
লোঞ্জল,ꯂꯣꯟꯖꯜ
চাখিবদু,ꯆꯥꯈꯤꯕꯗꯨ
উমংদগী,ꯎꯃꯪꯗꯒꯤ
শিন্মীশীংগী,ꯁꯤꯟꯃꯤꯁꯤꯡꯒꯤ
নঙ্গলগী,ꯅꯡꯒꯜꯒꯤ
ৱাইৱাইসি,ꯋꯥꯏꯋꯥꯏꯁꯤ
ওন্নবগী,ꯑꯣꯟꯅꯕꯒꯤ
ঙাল্লক্পদুদদি,ꯉꯥꯜꯂꯛꯄꯗꯨꯗꯗꯤ
মরিসু,ꯃꯔꯤꯁꯨ
কবিনি,ꯀꯕꯤꯅꯤ
ওফেন্সশীংদগী,ꯑꯣꯐꯦꯟꯁꯁꯤꯡꯗꯒꯤ
নোংমগী,ꯅꯣꯡꯃꯒꯤ
ওথোরিটিশীংবু,ꯑꯣꯊꯣꯔꯤꯇꯤꯁꯤꯡꯕꯨ
লিঙ্গুইস্তিক্সকী,ꯂꯤꯡꯒꯨꯏꯁꯇꯤꯛꯁꯀꯤ
কল্লেক্সঃদসু,ꯀꯜꯂꯦꯛꯁঃꯗꯁꯨ
দিসএবিলিটিবু,ꯗꯤꯁꯑꯦꯕꯤꯂꯤꯇꯤꯕꯨ
খোমচিংবগা,ꯈꯣꯝꯆꯤꯡꯕꯒ
থবক্তসু,ꯊꯕꯛꯇꯁꯨ
চেল্লিবো,ꯆꯦꯜꯂꯤꯕꯣ
য়েরুম্,ꯌꯦꯔꯨꯝ
ৱার্দপেদ,ꯋꯥꯔꯗꯄꯦꯗ
লৌরসি,ꯂꯧꯔꯁꯤ
লৈকাইদগীনি,ꯂꯩꯀꯥꯏꯗꯒꯤꯅꯤ
থৌরাংগী,ꯊꯧꯔꯥꯡꯒꯤ
লাউবদগী,ꯂꯥꯎꯕꯗꯒꯤ
চঙ্ঙক্এদো,ꯆꯡꯉꯛꯑꯦꯗꯣ
খাঙ্ফম্,ꯈꯥꯡꯐꯝ
কন্দক্টর,ꯀꯟꯗꯛꯇꯔ
চৈবদগী,ꯆꯩꯕꯗꯒꯤ
ফোটোভিদিও,ꯐꯣꯇꯣꯚꯤꯗꯤꯑꯣ
এক্টিং,ꯑꯦꯛꯇꯤꯡ
তিন্নরম্মী,ꯇꯤꯟꯅꯔꯝꯃꯤ
কান্নদগে,ꯀꯥꯟꯅꯗꯒꯦ
খোইমহুম,ꯈꯣꯏꯃꯍꯨꯝ
শেলটর,ꯁꯦꯜꯇꯔ
বেনিফিসরিশীং,ꯕꯦꯅꯤꯐꯤꯁꯔꯤꯁꯤꯡ
মরুপ্কুম্না,ꯃꯔꯨꯞꯀꯨꯝꯅꯥ
য়োল্লবদি,ꯌꯣꯜꯂꯕꯗꯤ
লোইখি,ꯂꯣꯏꯈꯤ
ভেল্যুগী,ꯚꯦꯂꯌ꯭ꯨꯒꯤ
মাইক্রোবাইএল,ꯃꯥꯏꯀꯔ꯭ꯣꯕꯥꯏꯑꯦꯜ
পীখি,ꯄꯤꯈꯤ
ঐচআইভি,ꯑꯩꯆꯑꯥꯏꯚꯤ
চেঞ্জসু,ꯆꯦꯟꯖꯁꯨ
পীশিল্লু,ꯄꯤꯁꯤꯜꯂꯨ
অশানি,ꯑꯁꯥꯅꯤ
লৈ্রেন্না,ꯂꯩꯔ꯭ꯦꯟꯅꯥ
এজুকেসন্দা,ꯑꯦꯖꯨꯀꯦꯁꯟꯗꯥ
গুজরাতী,ꯒꯨꯖꯔꯥꯇꯤ
সাইকোসোসিএল,ꯁꯥꯏꯀꯣꯁꯣꯁꯤꯑꯦꯜ
কান্নবশীংগী,ꯀꯥꯟꯅꯕꯁꯤꯡꯒꯤ
চামন্খ্রদুনা,ꯆꯥꯃꯟꯈꯔ꯭ꯗꯨꯅ
লৈনুংগী,ꯂꯩꯅꯨꯡꯒꯤ
শাজত্তা,ꯁꯥꯖꯠꯇꯥ
ক্ৱাক্পু,ꯀꯋ꯭ꯥꯛꯄꯨ
তৌমীন্নগদবনি,ꯇꯧꯃꯤꯟꯅꯒꯗꯕꯅꯤ
মেলাশীংগী,ꯃꯦꯂꯥꯁꯤꯡꯒꯤ
খুল্দা,ꯈꯨꯜꯗ
লাউবসি,ꯂꯥꯎꯕꯁꯤ
পুন্না,ꯄꯨꯟꯅꯥ
ওইবীগী,ꯑꯣꯏꯕꯤꯒꯤ
রিপেমেন্ট,ꯔꯤꯄꯦꯃꯦꯟꯇ
মীওইশীংদুবু,ꯃꯤꯑꯣꯏꯁꯤꯡꯗꯨꯕꯨ
সম্মরি,ꯁꯝꯃꯔꯤ
থিগৎপীগদবনি,ꯊꯤꯒꯠꯄꯤꯒꯗꯕꯅꯤ
চত্থবদগী,ꯆꯠꯊꯕꯗꯒꯤ
লাইরিক্তুগী,ꯂꯥꯏꯔꯤꯛꯇꯨꯒꯤ
দিজাষ্টরস্পেসিফিক,ꯗꯤꯖꯥꯁꯇꯔꯁꯄꯦꯁꯤꯐꯤꯛ
মমাঙ্দা,ꯃꯃꯥꯡꯗꯥ
মমায়শীং,ꯃꯃꯥꯌꯁꯤꯡ
পাঙথোক্লে,ꯄꯥꯡꯊꯣꯛꯂꯦ
মাইক্রোৱেব,ꯃꯥꯏꯀꯔ꯭ꯣꯋꯦꯕ
দেলিভরিশীং,ꯗꯦꯂꯤꯚꯔꯤꯁꯤꯡ
নখুত্তা,ꯅꯈꯨꯠꯇꯥ
অতৈবুসু,ꯑꯇꯩꯕꯨꯁꯨ
য়াখিরোই,ꯌꯥꯈꯤꯔꯣꯏ
পুম্নমাক,ꯄꯨꯝꯅꯃꯥꯛ
মেচ্যুওর,ꯃꯦꯆꯌ꯭ꯨꯑꯣꯔ
মিনিষ্টরনি,ꯃꯤꯅꯤꯁꯇꯔꯅꯤ
শেরান্,ꯁꯦꯔꯥꯟ
মেনেজরগী,ꯃꯦꯅꯦꯖꯔꯒꯤ
হায়্দোক্পদগী,ꯍꯥꯌꯗꯣꯛꯄꯗꯒꯤ
শিজিন্নগদবনি,ꯁꯤꯖꯤꯟꯅꯒꯗꯕꯅꯤ
গ্রাউন্দ,ꯒꯔ꯭ꯥꯎꯟꯗ
মাঙ্থোক্খরে,ꯃꯥꯡꯊꯣꯛꯈꯔꯦ
ওফেন্স,ꯑꯣꯐꯦꯟꯁ
হারভেষ্টিং,ꯍꯥꯔꯚꯦꯁꯇꯤꯡ
ব্রোডবেন্দ,ꯕꯔ꯭ꯣꯗꯕꯦꯟꯗ
নেত্খায়্রবোইরে,ꯅꯦꯠꯈꯥꯌꯔ꯭ꯕꯣꯏꯔꯦ
পাকথোকচাওথোকপা,ꯄꯥꯛꯊꯣꯛꯆꯥꯑꯣꯊꯣꯛꯄ
লৈরকখ্রে,ꯂꯩꯔꯛꯈꯔ꯭ꯦ
মাওইষ্ট,ꯃꯥꯑꯣꯏꯁꯇ
অথোরিটী,ꯑꯊꯣꯔꯤꯇꯤ
খুদোংথীহনগদবা,ꯈꯨꯗꯣꯡꯊꯤꯍꯟꯒꯗꯕ
শৌজত্পা,ꯁꯧꯖꯠꯄꯥ
নত্ত্রবদি,ꯅꯠꯇꯔ꯭ꯕꯗꯤ
হায়্রু,ꯍꯥꯌꯔ꯭ꯨ
শীংমিনিশীং,ꯁꯤꯡꯃꯤꯅꯤꯁꯤꯡ
মীৎফম,ꯃꯤꯠꯐꯝ
কাংলুপশিংবু,ꯀꯥꯡꯂꯨꯞꯁꯤꯡꯕꯨ
গরৱালি,ꯒꯔꯋꯥꯂꯤ
চাংচৎ,ꯆꯥꯡꯆꯠ
শোকপনা,ꯁꯣꯛꯄꯅ
অহাওসু,ꯑꯍꯥꯑꯣꯁꯨ
চেন্শিল্লক্পদগী,ꯆꯦꯟꯁꯤꯜꯂꯛꯄꯗꯒꯤ
যুজরগী,ꯌꯨꯖꯔꯒꯤ
মঙাইরে,ꯃꯉꯥꯏꯔꯦ
নমাতোন্না,ꯅꯃꯥꯇꯣꯟꯅꯥ
কোল্লুরগে,ꯀꯣꯜꯂꯨꯔꯒꯦ
কয়াদগী,ꯀꯌꯥꯗꯒꯤ
মাংজিল,ꯃꯥꯡꯖꯤꯜ
ফোর্ষ্টবাইট,ꯐꯣꯔꯁꯇꯕꯥꯏꯠ
জিওলোজিকেল,ꯖꯤꯑꯣꯂꯣꯖꯤꯀꯦꯜ
চাউজরে,ꯆꯥꯎꯖꯔꯦ
জুর্সি,ꯖꯨꯔꯁꯤ
য়োত্না,ꯌꯣꯠꯅꯥ
প্রেসরবু,ꯄꯔ꯭ꯦꯁꯔꯕꯨ
ঈশীংগুম্না,ꯏꯁꯤꯡꯒꯨꯝꯅꯥ
কাংমচাশীং,ꯀꯥꯡꯃꯆꯥꯁꯤꯡ
হায়গনু,ꯍꯥꯌꯒꯅꯨ
মহিংদুনি,ꯃꯍꯤꯡꯗꯨꯅꯤ
ব্রাঞ্চকী,ꯕꯔ꯭ꯥꯟꯆꯀꯤ
প্রোপিওনেট,ꯄꯔ꯭ꯣꯄꯤꯑꯣꯅꯦꯠ
অয়ুক্তদী,ꯑꯌꯨꯛꯇꯗꯤ
থৌগৎলি,ꯊꯧꯒꯠꯂꯤ
তৌরক্কদগে,ꯇꯧꯔꯛꯀꯗꯒꯦ
মওংগা,ꯃꯑꯣꯡꯒ
খোম্না,ꯈꯣꯝꯅꯥ
রচনাশিংএসেশিং,ꯔꯆꯅꯥꯁꯤꯡꯑꯦꯁꯦꯁꯤꯡ
কম্পোনেন্তশীং,ꯀꯝꯄꯣꯅꯦꯟꯇꯁꯤꯡ
লম্লাই,ꯂꯝꯂꯥꯏ
অসিগুম্না,ꯑꯁꯤꯒꯨꯝꯅꯥ
তিল্লেদো,ꯇꯤꯜꯂꯦꯗꯣ
কম্পনিদগী,ꯀꯝꯄꯅꯤꯗꯒꯤ
শিহল্লি,ꯁꯤꯍꯜꯂꯤ
শাশিংগী,ꯁꯥꯁꯤꯡꯒꯤ
মেদিয়াগী,ꯃꯦꯗꯤꯌꯥꯒꯤ
উদ্যোগদূষণ,ꯎꯗꯌ꯭ꯣꯒꯗꯨꯁꯟ
উত্পগী,ꯎꯠꯄꯒꯤ
লৈরম্দে,ꯂꯩꯔꯝꯗꯦ
মতেংশিং,ꯃꯇꯦꯡꯁꯤꯡ
শেৎপা,ꯁꯦꯠꯄ
হয়েংগী,ꯍꯌꯦꯡꯒꯤ
ওইজবাথি,ꯑꯣꯏꯖꯕꯥꯊꯤ
ময়ায়্,ꯃꯌꯥꯌ
দিব্যাংজন,ꯗꯤꯕꯌ꯭ꯥꯡꯖꯟ
শ্রেস্থা,ꯁꯔ꯭ꯦꯁꯊꯥ
রেষ্পোন্স,ꯔꯦꯁꯄꯣꯟꯁ
কন্নদ্রে,ꯀꯟꯅꯗꯔ꯭ꯦ
ওল্লবোইরে,ꯑꯣꯜꯂꯕꯣꯏꯔꯦ
গ্রেট,ꯒꯔ꯭ꯦꯠ
মনাক্তা,ꯃꯅꯥꯛꯇꯥ
পুশিল্লি,ꯄꯨꯁꯤꯜꯂꯤ
হান্জিল্লে,ꯍꯥꯟꯖꯤꯜꯂꯦ
ষ্টোলশীং,ꯁꯇ꯭ꯣꯜꯁꯤꯡ
দিমোনিটাইজেসন,ꯗꯤꯃꯣꯅꯤꯇꯥꯏꯖꯦꯁꯟ
গবর্ণান্স,ꯒꯕꯔꯅꯥꯟꯁ
ফর্টাইল,ꯐꯔꯇꯥꯏꯜ
মেকানিক্স,ꯃꯦꯀꯥꯅꯤꯛꯁ
তোন্না,ꯇꯣꯟꯅ
মীয়াম্,ꯃꯤꯌꯥꯝ
এন্ত্রিপ্রেন্যুওর,ꯑꯦꯟꯇꯔ꯭ꯤꯄꯔ꯭ꯦꯅꯌ꯭ꯨꯑꯣꯔ
অনুশারকাসি,ꯑꯅꯨꯁꯥꯔꯀꯥꯁꯤ
পোক্খি,ꯄꯣꯛꯈꯤ
কৈথেলদা,ꯀꯩꯊꯦꯜꯗ
নোর্থইষ্টর্ন,ꯅꯣꯔꯊꯏꯁꯇꯔꯅ
লৌরুবদগী,ꯂꯧꯔꯨꯕꯗꯒꯤ
চাবদসু,ꯆꯥꯕꯗꯁꯨ
য়াউরোইদবনি,ꯌꯥꯎꯔꯣꯏꯗꯕꯅꯤ
বেনিফিসরী,ꯕꯦꯅꯤꯐꯤꯁꯔꯤ
মিদিয়াবু,ꯃꯤꯗꯤꯌꯥꯕꯨ
প্রো,ꯄꯔ꯭ꯣ
তরাদা,ꯇꯔꯥꯗ
কন্সেপ্টশীং,ꯀꯟꯁꯦꯞꯇꯁꯤꯡ
পুখিবনি,ꯄꯨꯈꯤꯕꯅꯤ
স্কোলারিশিপ,ꯁꯀ꯭ꯣꯂꯥꯔꯤꯁꯤꯞ
খুবাক্তা,ꯈꯨꯕꯥꯛꯇꯥ
ফোর্মেত,ꯐꯣꯔꯃꯦꯠ
ওইনমক,ꯑꯣꯏꯅꯃꯛ
তোংহল্লবদি,ꯇꯣꯡꯍꯜꯂꯕꯗꯤ
অতোংঅকুৎ,ꯑꯇꯣꯡꯑꯀꯨꯠ
সেক্যুরিতি,ꯁꯦꯀꯌ꯭ꯨꯔꯤꯇꯤ
তেংবাং,ꯇꯦꯡꯕꯥꯡ
পামদে,ꯄꯥꯝꯗꯦ
হৌদোকই,ꯍꯧꯗꯣꯛꯏ
য়াহল্লোই,ꯌꯥꯍꯜꯂꯣꯏ
থুগায়রে,ꯊꯨꯒꯥꯌꯔꯦ
য়ুজরগী,ꯌꯨꯖꯔꯒꯤ
তাবশীং,ꯇꯥꯕꯁꯤꯡ
দূরদর্শন,ꯗꯨꯔꯗꯔꯁꯟ
